customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost
4,121,dantkanti,2025-10-01,3,100,4,400
18,122,nutrella,2025-10-01,4,40,2,80
3,121,refined oil,2025-10-01,1,110,1,110
10,122,nutrella,2025-10-01,4,40,7,280
4,121,nutrella,2025-10-01,1,40,1,40
16,122,besan,2025-10-01,5,52,1,52
17,121,dantkanti,2025-10-01,2,100,9,900
18,121,quaker oats,2025-10-01,3,212,7,1484
16,122,quaker oats,2025-10-01,6,212,3,636
13,122,besan,2025-10-01,4,52,6,312
15,121,dantkanti,2025-10-01,1,100,2,200
3,121,quaker oats,2025-10-01,3,212,3,636
11,121,quaker oats,2025-10-01,3,212,8,1696
12,123,quaker oats,2025-10-01,7,212,10,2120
15,121,dantkanti,2025-10-01,1,100,3,300
8,123,refined oil,2025-10-01,7,110,6,660
20,121,maida,2025-10-01,1,20,4,80
17,123,dantkanti,2025-10-01,8,100,8,800
15,123,clinic plus,2025-10-01,7,1.5,10,15.0
4,121,sugar,2025-10-01,1,50,9,450
7,122,maida,2025-10-01,5,20,9,180
1,122,besan,2025-10-01,4,52,2,104
2,123,nutrella,2025-10-01,7,40,10,400
20,121,refined oil,2025-10-01,3,110,10,1100
16,121,nutrella,2025-10-01,1,40,9,360
3,123,sugar,2025-10-01,9,50,6,300
6,122,besan,2025-10-01,4,52,2,104
15,123,sugar,2025-10-01,8,50,7,350
1,123,clinic plus,2025-10-01,7,1.5,8,12.0
7,123,dantkanti,2025-10-01,8,100,1,100
2,122,dantkanti,2025-10-01,4,100,4,400
16,122,maida,2025-10-01,4,20,3,60
10,121,maida,2025-10-01,1,20,6,120
12,122,dantkanti,2025-10-01,4,100,3,300
10,122,clinic plus,2025-10-01,4,1.5,3,4.5
13,122,clinic plus,2025-10-01,4,1.5,7,10.5
16,123,nutrella,2025-10-01,7,40,3,120
4,121,refined oil,2025-10-01,2,110,1,110
9,122,sugar,2025-10-01,5,50,4,200
6,121,refined oil,2025-10-01,1,110,6,660
9,121,quaker oats,2025-10-01,1,212,10,2120
8,123,maida,2025-10-01,9,20,4,80
5,123,quaker oats,2025-10-01,8,212,9,1908
3,121,nutrella,2025-10-01,1,40,7,280
2,121,besan,2025-10-01,1,52,1,52
1,121,quaker oats,2025-10-01,2,212,1,212
10,123,besan,2025-10-01,7,52,1,52
20,121,sugar,2025-10-01,2,50,4,200
11,121,sugar,2025-10-01,1,50,2,100
20,123,sugar,2025-10-01,8,50,3,150
6,123,besan,2025-10-01,7,52,1,52
12,123,refined oil,2025-10-01,8,110,4,440
10,122,nutrella,2025-10-01,6,40,5,200
16,122,clinic plus,2025-10-01,4,1.5,7,10.5
14,123,dantkanti,2025-10-01,7,100,8,800
14,123,besan,2025-10-01,8,52,5,260
7,121,quaker oats,2025-10-01,3,212,6,1272
16,123,besan,2025-10-01,7,52,7,364
13,123,refined oil,2025-10-01,9,110,1,110
14,121,maida,2025-10-01,1,20,2,40
14,122,maida,2025-10-01,5,20,2,40
3,121,nutrella,2025-10-01,2,40,3,120
10,121,clinic plus,2025-10-01,3,1.5,1,1.5
12,123,clinic plus,2025-10-01,7,1.5,8,12.0
5,122,dantkanti,2025-10-01,5,100,9,900
15,121,sugar,2025-10-01,3,50,10,500
2,123,maida,2025-10-01,8,20,7,140
11,122,besan,2025-10-01,4,52,6,312
12,123,maida,2025-10-01,9,20,3,60
18,122,sugar,2025-10-01,4,50,2,100
14,123,refined oil,2025-10-01,7,110,7,770
6,123,maida,2025-10-01,8,20,9,180
14,121,dantkanti,2025-10-01,1,100,4,400
15,123,sugar,2025-10-01,9,50,4,200
12,122,maida,2025-10-01,5,20,9,180
1,123,quaker oats,2025-10-01,7,212,9,1908
3,122,quaker oats,2025-10-01,6,212,3,636
12,121,nutrella,2025-10-01,2,40,1,40
12,122,nutrella,2025-10-01,5,40,3,120
13,121,sugar,2025-10-01,2,50,1,50
12,121,nutrella,2025-10-01,1,40,2,80
16,122,besan,2025-10-01,4,52,6,312
5,123,maida,2025-10-01,8,20,9,180
4,122,quaker oats,2025-10-01,5,212,6,1272
13,123,dantkanti,2025-10-01,7,100,3,300
14,122,nutrella,2025-10-01,4,40,6,240
7,123,dantkanti,2025-10-01,7,100,2,200
20,123,clinic plus,2025-10-01,8,1.5,2,3.0
11,121,dantkanti,2025-10-01,1,100,7,700
8,122,dantkanti,2025-10-01,4,100,4,400
7,122,sugar,2025-10-01,5,50,9,450
1,122,besan,2025-10-01,4,52,8,416
13,121,maida,2025-10-01,3,20,9,180
12,121,dantkanti,2025-10-01,3,100,6,600
13,122,dantkanti,2025-10-01,4,100,3,300
14,122,clinic plus,2025-10-01,5,1.5,9,13.5
9,121,refined oil,2025-10-01,1,110,8,880
18,122,clinic plus,2025-10-01,6,1.5,7,10.5
6,121,refined oil,2025-10-01,1,110,6,660
9,123,sugar,2025-10-01,9,50,10,500
4,122,besan,2025-10-01,6,52,10,520
11,121,clinic plus,2025-10-01,2,1.5,5,7.5
12,123,quaker oats,2025-10-01,9,212,2,424
1,121,refined oil,2025-10-01,3,110,6,660
4,123,refined oil,2025-10-01,7,110,8,880
8,123,quaker oats,2025-10-01,9,212,4,848
4,123,sugar,2025-10-01,8,50,10,500
20,121,sugar,2025-10-01,1,50,7,350
6,122,besan,2025-10-01,6,52,1,52
19,121,sugar,2025-10-01,1,50,1,50
13,123,clinic plus,2025-10-01,8,1.5,7,10.5
7,121,clinic plus,2025-10-01,1,1.5,5,7.5
12,123,quaker oats,2025-10-01,9,212,5,1060
18,121,quaker oats,2025-10-01,2,212,7,1484
8,123,quaker oats,2025-10-01,7,212,1,212
5,122,besan,2025-10-01,5,52,6,312
10,121,clinic plus,2025-10-01,3,1.5,5,7.5
14,123,nutrella,2025-10-01,9,40,4,160
4,123,refined oil,2025-10-01,9,110,10,1100
1,122,refined oil,2025-10-01,6,110,10,1100
15,123,quaker oats,2025-10-01,7,212,1,212
13,123,sugar,2025-10-01,9,50,7,350
14,121,dantkanti,2025-10-01,2,100,3,300
16,121,maida,2025-10-01,1,20,10,200
7,121,quaker oats,2025-10-01,3,212,7,1484
15,121,clinic plus,2025-10-01,3,1.5,9,13.5
15,123,sugar,2025-10-01,8,50,6,300
9,123,sugar,2025-10-01,9,50,10,500
14,123,quaker oats,2025-10-01,8,212,8,1696
1,123,refined oil,2025-10-01,7,110,6,660
5,122,dantkanti,2025-10-01,4,100,7,700
4,123,refined oil,2025-10-01,9,110,3,330
17,121,clinic plus,2025-10-01,2,1.5,3,4.5
17,123,nutrella,2025-10-01,7,40,7,280
14,122,refined oil,2025-10-01,6,110,6,660
13,122,dantkanti,2025-10-01,4,100,10,1000
15,123,quaker oats,2025-10-01,8,212,9,1908
17,121,nutrella,2025-10-01,2,40,3,120
3,121,dantkanti,2025-10-01,3,100,7,700
6,123,besan,2025-10-01,7,52,2,104
9,122,maida,2025-10-01,6,20,10,200
15,123,sugar,2025-10-01,7,50,4,200
12,123,maida,2025-10-01,9,20,6,120
2,122,sugar,2025-10-01,4,50,9,450
7,123,dantkanti,2025-10-01,7,100,10,1000
10,121,sugar,2025-10-01,2,50,9,450
10,122,sugar,2025-10-01,5,50,2,100
11,121,quaker oats,2025-10-01,1,212,7,1484
10,121,refined oil,2025-10-01,2,110,7,770
13,121,sugar,2025-10-01,2,50,3,150
3,121,quaker oats,2025-10-01,2,212,6,1272
17,122,quaker oats,2025-10-01,6,212,8,1696
19,122,quaker oats,2025-10-01,5,212,2,424
5,121,refined oil,2025-10-01,1,110,7,770
3,123,refined oil,2025-10-01,9,110,6,660
16,121,quaker oats,2025-10-01,3,212,1,212
10,123,quaker oats,2025-10-01,9,212,7,1484
19,121,refined oil,2025-10-01,1,110,3,330
3,121,nutrella,2025-10-01,3,40,2,80
5,121,maida,2025-10-01,1,20,8,160
12,123,refined oil,2025-10-01,7,110,10,1100
4,123,quaker oats,2025-10-01,7,212,10,2120
13,122,refined oil,2025-10-01,5,110,6,660
7,121,refined oil,2025-10-01,2,110,8,880
13,123,besan,2025-10-01,9,52,6,312
7,121,nutrella,2025-10-01,2,40,4,160
18,123,clinic plus,2025-10-01,8,1.5,4,6.0
1,121,sugar,2025-10-01,1,50,6,300
5,122,maida,2025-10-01,4,20,1,20
9,122,sugar,2025-10-01,5,50,8,400
10,123,dantkanti,2025-10-01,8,100,7,700
20,123,besan,2025-10-01,7,52,4,208
5,122,maida,2025-10-01,5,20,7,140
4,121,refined oil,2025-10-01,3,110,5,550
7,123,clinic plus,2025-10-01,8,1.5,2,3.0
11,122,refined oil,2025-10-01,6,110,4,440
7,123,refined oil,2025-10-01,8,110,2,220
15,122,refined oil,2025-10-01,4,110,7,770
7,123,quaker oats,2025-10-01,7,212,10,2120
19,121,refined oil,2025-10-01,2,110,4,440
8,121,besan,2025-10-01,2,52,9,468
12,123,clinic plus,2025-10-01,9,1.5,5,7.5
9,123,dantkanti,2025-10-01,8,100,5,500
19,122,nutrella,2025-10-01,4,40,3,120
18,123,refined oil,2025-10-01,9,110,2,220
4,122,refined oil,2025-10-01,4,110,4,440
20,123,nutrella,2025-10-01,8,40,4,160
2,123,quaker oats,2025-10-01,8,212,2,424
8,121,besan,2025-10-01,1,52,6,312
20,122,nutrella,2025-10-01,5,40,8,320
19,122,clinic plus,2025-10-01,5,1.5,8,12.0
11,122,quaker oats,2025-10-01,5,212,8,1696
4,123,sugar,2025-10-01,7,50,9,450
14,122,nutrella,2025-10-01,5,40,1,40
15,122,besan,2025-10-01,6,52,8,416
2,122,sugar,2025-10-01,6,50,4,200
18,121,quaker oats,2025-10-01,3,212,7,1484
18,121,nutrella,2025-10-01,1,40,8,320
11,122,besan,2025-10-01,6,52,2,104
20,122,sugar,2025-10-01,4,50,4,200
10,123,refined oil,2025-10-01,8,110,3,330
6,123,maida,2025-10-01,8,20,1,20
3,122,dantkanti,2025-10-01,5,100,7,700
14,121,sugar,2025-10-01,2,50,6,300
9,123,dantkanti,2025-10-01,7,100,1,100
3,123,nutrella,2025-10-01,7,40,10,400
3,123,maida,2025-10-01,9,20,9,180
10,122,dantkanti,2025-10-01,5,100,3,300
7,121,clinic plus,2025-10-01,1,1.5,10,15.0
7,121,maida,2025-10-01,3,20,4,80
10,122,nutrella,2025-10-01,6,40,6,240
12,121,clinic plus,2025-10-01,2,1.5,2,3.0
2,123,nutrella,2025-10-01,7,40,2,80
19,122,dantkanti,2025-10-01,4,100,10,1000
4,122,clinic plus,2025-10-01,4,1.5,9,13.5
18,122,maida,2025-10-01,5,20,9,180
10,121,refined oil,2025-10-01,1,110,4,440
17,122,quaker oats,2025-10-01,5,212,6,1272
20,121,refined oil,2025-10-01,2,110,6,660
4,121,sugar,2025-10-01,2,50,6,300
11,122,quaker oats,2025-10-01,6,212,2,424
6,121,clinic plus,2025-10-01,1,1.5,1,1.5
1,122,refined oil,2025-10-01,4,110,7,770
10,121,refined oil,2025-10-01,2,110,5,550
